comment,sentiment
口味 知道 我口 高 这家 真 不怎么样 感觉 口味 确实 上菜 相当 我敢 菜 提前 做好 热 菜品 酸 汤 肥牛 干辣 干辣 一股 泡椒味 着实 受不了 环境 室内 整体 装修 确实 不错 大厅 人多 太乱 服务 说不上 好 不差 价格 大众 价格 接受 太多 排队 厉害 以后 排队 也许 还会来 早 路过 排队 不值 票据 六日 没票 告 周一 周五 票 相当 正规 一点 同等 价位 远不如 外婆家 ,0
菜品 丰富 质量 好 服务 不错 喜欢 ,1
说真的 晓得 有人 排队 理由 香精 香精 香精 香精 拜拜 ,0
菜量 实惠 上菜 算 比较 疙瘩汤 喝出 秋日 暖意 烧茄子 吃 大阪 烧 味道 想 吃 土豆片 口感 绵软 停不下来 下饭 好菜 唯一 不足 锅包肉 面糊 太厚 油腻 机会 再 ,1
先说 算是 娜娜 家风 荷园 开业 一直 吃 每次 回来 总想 吃 一回 有时 觉得 外面 西式 简餐 总是 天津 家 口味 地区 差异 这家 店 第一次 朋友 以前 别家 娜娜 先说 点多 20 左右 需要 位子 得知 点钟 闭餐 下午 下午茶 说话 门口 小哥 告知 知道 多久 也许 好 几桌 一起 走 也许 一直 坐 走 请问 问 客气 问问 是不是 点 闭餐 做 主食 巴拉巴 拉 干什么 朋友 点 地方 肯定 走 位子 知道 家 安排 几人轮 桌子 坐 坐 人位 明明 稍 一点 桌子 左手边 最小 小 咖啡 桌 协商 换 窗边 座位 我要 意面 松饼 沙拉 薯泥 主食 菜品 小 咖啡 桌 不好 放开 还好 后面 服务 人员 ,1
菜 好吃 环境 不错 值得 推荐 ,1
喜欢 餐厅 东北风 味儿 以后 还会 再 ,1
口味 属于 家常菜 一类 价格 有点 小贵 逛街 吃 吃 ,1
最近 太忙 估计 暂时 告别 大众 点评 一段时间 条 应该 月 最后 一条 点评 全 五星 好评 天津 连续 下雨 某日 实验室 两人 来到 南开区 大悦 城 直奔 网红店 小 吊梨汤 排队 以往 排队 半小时 小时 根本 吃不上 大厅 已经 坐满 一个 小 隔间 里面 隔间 里面 四张 桌子 看过 菜单 之后 知道 这家 天津 码头 南京 大牌 档 馆子 相似 贩卖 精致 小吃 为主 分量 一部分 分量 很大 味道 不错 具体 菜品 做 介绍 大众 点评 推荐 前 几个 点 实话实说 真的 味道 不错 大伙 兴趣 试试 服务 好 服务员 热情 礼貌 效率 高 提醒 下 平常 吃 一定 早 排队 最后 希望 段时间 努力 能够 助 走向 理想 地方 ,1
一次 感觉 喜欢 环境 菜品 自助餐 里 已经 不错 ,1
10 点 半点 餐 12 点 下单 速度 醉 味道 德国 香肠 太 好吃 焗 土豆 柠檬 鸡 推荐 ,0
两个 吃 没点 太多 一份 手 抓 饼 主食 仔细 菜单 以为 手 抓 饼 咸口 太甜 油 有点 当时 特别 想 吃 炸 鲜奶 那类 甜食 就要 一份 椰香 南瓜 菜 好大 面包片 里面 夹 一点 南瓜 外面 挤 一些 酱 酱 有点 酸 好吃 一人 吃 一块 没动 老醋 杂拌 有点 浆浆 糊糊 还要 一份 铁板 茄 夹 茄子 太薄 想 吃 茄子 倒 吃 一口 肉馅 ,1
地点 好 真的 重要 推荐 ,0
